,IDADE,TIPO_CARTAO,FAIXA_HORARIA_FRQ_PRIMEIRA,FAIXA_HORARIA_FRQ_ULTIMA,HORAS_TRABALHADAS_DIARIAMENTE,DIST_CASA_PARADA,RENDA_MEDIA_ZONA,MEDIA_MORADORES_FAMILIA,MEDIA_AUTOMOVEIS_FAMILIA,MEDIA_MOTOS_FAMILIA,MEDIA_BICICLETAS_FAMILIA,MEDIA_VIAGENS_FAMILIA,VIAGENS_MOTIVO_OUTROS,VIAGENS_MOTIVO_TRABALHO,VIAGENS_MOTIVO_RESIDENCIA,VIAGENS_MOTIVO_ESTUDO,FREQ_MEDIA_DIARIA,FREQ_MEDIA_DIARIA_MAIOR_2
0,adulto,11.0,madrugada,madrugada,6.959677419354839,3381.51575486115,4710.39406779661,2.639810426540284,1.090047393364929,0.08530805687203792,0.2985781990521327,4.872037914691943,0.1634241245136187,0.2081712062256809,0.4824902723735409,0.1459143968871595,0.65,0
1,idoso,11.0,madrugada,madrugada,6.78125,1075.13956169588,1769.661290322581,2.425,0.525,0.15,0.3,3.775,0.09933774834437085,0.2913907284768212,0.4966887417218543,0.1125827814569536,0.45,0
2,adulto,11.0,madrugada,madrugada,7.127659574468085,7716.33436776803,1310.456692913386,2.409090909090909,0.3522727272727273,0.06818181818181818,0.2159090909090909,4.125,0.2066115702479339,0.1955922865013774,0.4848484848484849,0.1129476584022039,0.5333333334,0
3,adulto,11.0,madrugada,madrugada,7.225,604.253200138416,1214.341463414634,2.693877551020408,0.3673469387755102,0.2244897959183673,0.3673469387755102,4.530612244897959,0.1171171171171171,0.1936936936936937,0.481981981981982,0.2072072072072072,0.2,0
4,adulto,11.0,madrugada,madrugada,7.360824742268041,3153.23648261447,1119.162162162162,2.546875,0.25,0.125,0.390625,2.859375,0.07103825136612021,0.2950819672131147,0.4754098360655737,0.1584699453551913,0.1,0
5,adulto,11.0,madrugada,madrugada,7.314516129032258,2480.65811557756,1774.952830188679,3.147058823529412,0.7352941176470589,0.1029411764705882,0.3235294117647059,5.382352941176471,0.1775956284153005,0.1721311475409836,0.4672131147540984,0.1830601092896175,0.55,0
6,adulto,11.0,madrugada,madrugada,7.316109422492401,98.3716351564607,3181.173501577287,2.421487603305785,0.9669421487603306,0.1074380165289256,0.2727272727272727,3.56198347107438,0.1867749419953596,0.1809744779582367,0.4860788863109048,0.1461716937354988,0.1,0
7,adulto,11.0,madrugada,madrugada,6.476190476190476,675.640394382773,1621.46511627907,3.666666666666667,0.3809523809523809,0.1904761904761905,0.4285714285714285,4.619047619047619,0.1958762886597938,0.1237113402061856,0.4948453608247423,0.1855670103092784,0.75,0
8,adulto,11.0,madrugada,madrugada,7.507042253521127,1224.49011963306,1361.612903225806,2.931818181818182,0.1818181818181818,0.1363636363636364,0.4090909090909091,3.045454545454545,0.1268656716417911,0.2014925373134328,0.4776119402985075,0.1940298507462687,0.25,0
9,adulto,11.0,madrugada,madrugada,6.906040268456376,1752.8713883539,3661.56,2.252336448598131,0.9439252336448598,0.01869158878504673,0.1775700934579439,4.551401869158878,0.1991786447638604,0.1930184804928131,0.4517453798767967,0.1560574948665298,0.4333333334,0
10,adulto,11.0,madrugada,madrugada,7.204013377926421,887.816810164629,2301.052264808362,3.040268456375839,1.073825503355705,0.06711409395973154,0.2013422818791946,6.281879194630872,0.1164529914529915,0.219017094017094,0.4754273504273504,0.1891025641025641,0.85,0
11,adulto,11.0,noite,noite,6.553398058252427,227.622944417849,1301.884615384615,3.212765957446809,0.4468085106382979,0.3617021276595745,0.2765957446808511,5.063829787234043,0.08403361344537816,0.226890756302521,0.4873949579831933,0.2016806722689076,1.3,0
12,adulto,11.0,madrugada,madrugada,7.065934065934066,359.970304109666,1161.0,3.145833333333333,0.4375,0.1666666666666667,0.2916666666666667,4.020833333333333,0.06217616580310881,0.2020725388601036,0.4974093264248705,0.2383419689119171,0.3,0
13,adulto,11.0,madrugada,madrugada,7.261194029850746,1302.29102288011,1232.837837837838,2.733333333333333,0.4333333333333333,0.1888888888888889,0.3555555555555556,3.933333333333333,0.1553672316384181,0.1779661016949153,0.4830508474576271,0.1836158192090395,0.3,0
14,adulto,11.0,madrugada,madrugada,6.551282051282051,6032.90101679785,1202.5125,3.0,0.3333333333333333,0.1666666666666667,0.2857142857142857,5.690476190476191,0.1673640167364017,0.2133891213389121,0.4853556485355648,0.1338912133891213,1.4333333334,0
15,adulto,11.0,madrugada,madrugada,7.311475409836065,7695.38615414911,2118.564935064935,1.855855855855856,0.7387387387387387,0.07207207207207207,0.2972972972972973,3.468468468468469,0.2025974025974026,0.2155844155844156,0.4987012987012987,0.08311688311688312,0.2,0
16,adulto,11.0,noite,madrugada,7.133333333333334,2181.7514046651,1132.875,3.5,0.1666666666666667,0.0,0.3333333333333333,3.333333333333333,0.0,0.2,0.5,0.3,1.3333333334,0
