id_municipio,lon,lat,area_km2,n_sinistros,n_vitimas,n_fatal,is_fatal,pib,n_pav,pav,domicilios,populacao,taxa_alfabetizacao,idade_mediana,indice_envelhecimento
2512077,-38.49893876981876,-6.593667675449441,94.646,0.0,0.0,0.0,0.0,52955000.0,0.0,0.0,1450.0,4006.0,0.80957,39.0,90.75
4214151,-53.611778141581695,-26.432944809130777,85.598,0.0,0.0,0.0,0.0,158482000.0,0.0,0.0,1093.0,2958.0,0.94973,37.0,73.18
2503902,-36.79713343663239,-7.8998413440779585,541.841,0.0,0.0,0.0,0.0,76257000.0,0.0,0.0,2423.0,6057.0,0.76369,35.0,66.56
3162922,-44.24909167611649,-20.07097105924299,71.995,41.0,94.0,0.0,0.0,956892000.0,0.0,3.984964637005546,10617.0,31236.0,0.93478,32.0,39.98
1101609,-62.34252336542013,-10.121801505038372,2197.412,2.0,3.0,0.0,0.0,284565000.0,0.0,7.492339031808767,3007.0,8112.0,0.88381,38.0,54.7
5002308,-52.43477924465526,-21.07587697770857,5803.542,5.0,12.0,0.0,0.0,1056555000.0,0.0,33.09965741494991,4235.0,11494.0,0.93469,34.0,43.99
2201408,-42.50275800733876,-5.801868989626677,159.436,5.0,21.0,1.0,1.0,102784000.0,0.0,13.136293263024042,2177.0,6631.0,0.76637,34.0,56.25
4107603,-51.28532011370171,-24.003120398033637,716.804,1.0,4.0,1.0,1.0,594325000.0,0.0,1.236446371941184,6106.0,16279.0,0.90282,35.0,60.57
3106200,-43.959967965392025,-19.902649134350508,331.337,107.0,276.0,7.0,1.0,115381698000.0,0.0,57.9021875660733,889584.0,2306189.0,0.97776,38.0,91.12
4115903,-52.7460678489388,-23.20225077627332,222.016,0.0,0.0,0.0,0.0,125967000.0,0.0,0.0,818.0,2236.0,0.89868,35.0,51.93
4213500,-48.6163711027868,-27.1748632950446,93.674,81.0,190.0,3.0,1.0,1721134000.0,0.0,8.55562002474408,9875.0,27531.0,0.97689,35.0,46.89
4319604,-53.61969384910935,-30.17570117236318,2204.779,35.0,124.0,7.0,1.0,895943000.0,0.0,75.09179119701886,8605.0,21077.0,0.94471,42.0,115.72
1503101,-51.553850683390685,-1.1493082234946277,8569.663,0.0,0.0,0.0,0.0,398199000.0,0.0,0.0,7375.0,31687.0,0.82027,23.0,16.13
4311429,-53.20602352260068,-27.7032714785733,67.947,2.0,3.0,0.0,0.0,59389000.0,0.0,8.164921714130696,983.0,2598.0,0.87988,35.0,60.04
2901304,-41.21497689748939,-12.73343860714218,1589.786,2.0,10.0,1.0,1.0,163054000.0,0.0,23.367506562266435,4455.0,13040.0,0.81094,33.0,50.0
3162906,-43.00321489563477,-21.583021445151623,407.427,0.0,0.0,0.0,0.0,581987000.0,0.0,0.0,9840.0,25430.0,0.96806,39.0,86.64
1503093,-49.00556057448215,-4.027101288529696,7023.933,0.0,0.0,0.0,0.0,522757000.0,0.0,0.0,8289.0,26317.0,0.84442,29.0,25.84
2209559,-43.00788636940812,-8.96282449028749,656.042,0.0,0.0,0.0,0.0,43000000.0,0.0,0.0,1519.0,4358.0,0.7718,35.0,58.55
4205308,-52.2443168747957,-26.84664115926483,340.07,17.0,45.0,1.0,1.0,802803000.0,0.0,14.118881431478991,4035.0,11189.0,0.94881,36.0,57.42
3203601,-40.51252126462961,-18.01479112318364,540.529,0.0,0.0,0.0,0.0,108803000.0,0.0,0.0,2119.0,5466.0,0.84973,39.0,74.95
3146404,-45.49101404352275,-18.918873242346557,637.309,0.0,0.0,0.0,0.0,88764000.0,0.0,0.0,1780.0,4203.0,0.93226,45.0,136.96
3130051,-44.91633545389728,-16.225112509212313,625.664,0.0,0.0,0.0,0.0,114603000.0,0.0,0.0,3276.0,10673.0,0.87569,33.0,49.27
3513603,-44.94188629008395,-23.05264177908043,1407.098,0.0,0.0,0.0,0.0,355776000.0,0.0,0.0,8574.0,22063.0,0.93263,39.0,84.01
2413805,-38.05114669776801,-5.935826665497225,124.093,0.0,0.0,0.0,0.0,37505000.0,0.0,14.779506976648142,824.0,2338.0,0.83191,36.0,58.73
1702703,-46.432863281086455,-12.646648517896802,696.194,0.0,0.0,0.0,0.0,61533000.0,0.0,0.0,1273.0,3340.0,0.83753,38.0,67.34
2917508,-40.56858081840177,-11.135101686913302,2192.906,22.0,61.0,6.0,1.0,1816304000.0,0.0,107.05812862724945,30907.0,82451.0,0.87299,34.0,50.46
2308203,-40.45085148772414,-3.578596507194139,151.651,0.0,0.0,0.0,0.0,143855000.0,0.0,0.0,4824.0,15142.0,0.836,32.0,51.71
4311403,-52.00740600993097,-29.443278565166327,90.801,95.0,237.0,2.0,1.0,6109235000.0,0.0,8.655851042300057,37971.0,93021.0,0.97765,35.0,58.72
4124053,-54.4303026817957,-25.453308796873205,270.949,39.0,83.0,1.0,1.0,696657000.0,0.0,12.401900438336764,8619.0,24258.0,0.94734,36.0,57.99
1503077,-47.07598407686574,-2.168263160508415,1608.014,0.0,0.0,0.0,0.0,314533000.0,0.0,0.0,7710.0,24692.0,0.78132,28.0,26.92
3506201,-50.86191979205233,-21.331733050592767,301.687,0.0,0.0,0.0,0.0,249335000.0,0.0,0.0,929.0,2605.0,0.94205,37.0,61.97
4107702,-52.02972218300866,-23.900561262670458,232.209,0.0,0.0,0.0,0.0,157894000.0,0.0,0.0,1773.0,4471.0,0.89825,40.0,94.03
3154705,-45.07306134878185,-21.147884779733538,49.251,9.0,23.0,0.0,0.0,127370000.0,0.0,2.782356034924712,1470.0,4080.0,0.97226,39.0,90.32
3113701,-40.84188347193368,-17.674017086969595,3202.984,0.0,0.0,0.0,0.0,503873000.0,0.0,0.0,7123.0,18503.0,0.83693,38.0,83.93
5107354,-52.6168954533823,-10.696421902960406,7465.563,0.0,0.0,0.0,0.0,1039023000.0,0.0,0.0,1935.0,5930.0,0.92582,27.0,16.78
1101435,-62.53236194505797,-10.889335683307468,807.17,0.0,0.0,0.0,0.0,168139000.0,0.0,0.0,2230.0,6180.0,0.89703,36.0,50.76
2802908,-37.42162540184372,-10.685582388347362,337.348,73.0,165.0,8.0,1.0,2510210000.0,0.0,24.908283276302225,37878.0,103202.0,0.84001,32.0,42.81
2112506,-42.39057227841724,-2.923056144476624,1566.081,0.0,0.0,0.0,0.0,611978000.0,0.0,0.0,14744.0,53157.0,0.77665,27.0,28.9
